"date","FIPS","hospitalizations","aerosols","pm25"
2020-04-18,"7",4,-1.41625977645532,3.83394193088453
2020-04-18,"9",1,-1.28307096325346,4.52911791565522
2020-04-19,"1",97,-1.18713361760357,5.18020474357253
2020-04-19,"2",22,-0.826550563355359,5.5736848852665
2020-04-19,"3",3,-1.39065105977644,5.46339435387314
2020-04-19,"5",1,-1.30846387739368,3.51133430167525
2020-04-19,"6",0,-1.68824523635679,2.94615384615385
2020-04-19,"7",2,-1.40172056898283,3.01740974828526
2020-04-19,"9",0,-1.23284752887998,3.54140317053943
2020-04-20,"1",104,-1.45575906443626,6.71911477635816
2020-04-20,"2",21,-1.52663826549832,7.35721818777416
2020-04-20,"3",2,-1.63732967531149,6.50055196702733
2020-04-20,"5",1,-1.11502799118194,3.73888615655964
2020-04-20,"6",1,-1.35728836854178,3.77307692307692
2020-04-20,"7",2,-0.914425869164235,3.11337359759643
2020-04-20,"9",0,-1.05310185356017,3.82227594248286
2020-04-21,"1",100,-0.319560118777254,3.47763495446632
2020-04-21,"2",19,-1.50511499128878,3.59878498556227
2020-04-21,"3",2,-1.84571467631714,4.28355315550263
2020-04-21,"5",1,-1.75253897441142,4.03088194766414
2020-04-21,"6",1,-1.75776073225776,3.26153846153846
2020-04-21,"7",2,-1.59432199299907,3.77999417108716
2020-04-21,"9",0,-1.10000397990617,3.38804659322819
2020-04-22,"1",107,-0.815100865389657,4.81145620508639
2020-04-22,"2",18,-1.06987017108795,4.30701303305716
2020-04-22,"3",2,-0.858960128343015,4.82269407302101
2020-04-22,"5",1,-1.17601237633121,4.81866083749439
2020-04-22,"6",1,-2.40834012850438,3.71923076923077
2020-04-22,"7",2,-1.29306902031268,3.02119794159372
2020-04-22,"9",0,-1.70260078327404,3.20909313061799
2020-04-23,"1",99,-0.60287090402577,2.70289835210723
2020-04-23,"2",18,-1.5392989753064,3.08503625611009
2020-04-23,"3",5,-1.8830923405505,2.71736940292845
2020-04-23,"5",1,-1.69976369749921,4.87110412177964
2020-04-23,"6",1,-1.77801578428827,2.83461538461539
2020-04-23,"7",1,-1.2974509892732,2.18034447731939
2020-04-23,"9",0,-2.08473744299501,2.41329412838385
2020-04-24,"1",100,-0.724416097033274,5.28953525393015
2020-04-24,"2",19,-0.85419134059549,4.62907570847364
2020-04-24,"3",2,-0.677037173407046,3.8012403072486
2020-04-24,"5",1,-0.971404473407334,2.9501665875649
2020-04-24,"6",0,-1.3557866899414,3.42692307692308
2020-04-24,"7",2,-1.54093179020952,2.7654498763499
2020-04-24,"9",0,-0.93877627352236,2.60733638302969
2020-04-25,"1",104,-0.907484222921074,5.06969497802465
2020-04-25,"2",21,-1.97235304135968,3.36823652680081
2020-04-25,"3",2,-0.468544232444321,3.75421888723723
2020-04-25,"5",1,-1.69829835694677,3.47573900707876
2020-04-25,"6",0,-0.543449104336697,4.13076923076923
2020-04-25,"7",3,-1.702668849112,2.55331556562599
2020-04-25,"9",0,-0.950172726449905,3.34836294468818
2020-04-26,"1",110,-1.76682063370488,5.78135734342444
2020-04-26,"2",17,-2.00465846397009,4.71658086480832
2020-04-26,"3",1,-2.20122540466901,4.09288786389295
2020-04-26,"5",1,-1.58625205558161,2.63108444900904
2020-04-26,"6",1,-1.37707941063419,3.78846153846154
2020-04-26,"7",3,-1.50663882344605,2.82070689854691
2020-04-26,"9",0,-1.01524043778423,3.32558748883983
2020-04-27,"1",111,-2.20895731939261,3.05785080672419
2020-04-27,"2",16,-2.33408128013021,3.0585060379668
2020-04-27,"3",1,-1.7719297001447,2.95986182353556
2020-04-27,"5",1,-2.80763309241846,2.58336846565608
2020-04-27,"6",0,-2.56919979026432,3.14230769230769
2020-04-27,"7",3,-2.27457941344059,2.02970161109436
2020-04-27,"9",0,-1.53640766596269,2.92468157611542
2020-04-28,"1",108,-1.32722129053358,4.13264603745472
2020-04-28,"2",14,-1.51484386996653,3.46525852446597
2020-04-28,"3",1,-1.16034344567364,2.43468693596058
2020-04-28,"5",1,-1.36549456684837,2.25177527550733
2020-04-28,"6",0,-1.36117120158693,3.23846153846154
2020-04-28,"7",3,-1.38971383536178,2.05666966208021
2020-04-28,"9",1,-1.37764508595997,3.01623476978075
2020-04-29,"1",102,-0.980630502054361,4.25782397570265
2020-04-29,"2",14,-1.31759064938244,4.3905585692216
2020-04-29,"3",1,-0.955864652808027,4.09807358764736
2020-04-29,"5",1,-1.50766636704454,2.95249549643693
2020-04-29,"6",0,-1.28806050118671,3.7
2020-04-29,"7",4,-1.53708481525642,2.68646596443506
2020-04-29,"9",1,-1.23454450625977,3.01306136838463
2020-04-30,"1",94,-1.50292429732202,2.58181186079827
2020-04-30,"2",18,-1.72924151742407,2.57694835307345
2020-04-30,"3",0,-1.73203680653852,2.82108183605774
2020-04-30,"5",0,-1.41649726117487,2.33834150163994
2020-04-30,"6",0,-1.37867976604443,3.1
2020-04-30,"7",3,-1.66552488780118,2.22238176807499
2020-04-30,"9",1,-1.35264182630342,2.82295425875747
2020-05-01,"1",82,-0.377675626147941,4.00033419514933
2020-05-01,"2",14,-1.86367427695922,4.1757328331127
2020-05-01,"3",0,-0.615105501778982,4.33948366998522
2020-05-01,"5",1,-1.84299045926957,3.0785407433105
2020-05-01,"6",0,-0.982812383834365,3.59615384615385
2020-05-01,"7",4,-1.11069079180252,3.2908863233418
2020-05-01,"9",1,-1.0721895511608,3.29309252179949
2020-05-02,"1",71,-0.937979615639928,5.62969800277039
2020-05-02,"2",14,-0.87249524478623,4.7483724248658
2020-05-02,"3",0,-0.941578325843874,4.65858960033069
2020-05-02,"5",1,-0.99980821208602,2.79704231316667
2020-05-02,"6",0,-0.831113509842347,4.62692307692308
2020-05-02,"7",3,-2.10145009925017,3.5942535919961
