"out","var","tim","lag","estimate","std.error","p.value","aic","nrow"
"death_rate","pm25","long.term",0,-1.35649789071031e-09,1.39286214186464e-08,0.922418481224763,-281824.516525662,16525
"case_rate","pm25","long.term",0,1.72391693594389e-09,1.28314616039862e-07,0.989280844740599,-208435.690414268,16525
"hosp_rate","aerosols_bin","long.term",0,8.57807498263143e-06,8.57143165939386e-06,0.316961921880281,-148321.516460188,9374
"death_rate","aerosols_bin","long.term",0,3.07530920424249e-08,2.83864956233711e-06,0.991356227293651,-361723.850676959,20927
"case_rate","aerosols_bin","long.term",0,6.93299184485632e-06,2.78015553097176e-05,0.803073775227948,-266222.919781028,20927
"hosp_rate","pm25_bin","long.term",0,3.56762233161064e-05,3.04566108615827e-06,2.04320314380672e-31,-120678.908510221,7613
"death_rate","pm25_bin","long.term",0,-1.89933860913141e-06,1.27668283284907e-06,0.136845687355336,-281826.744178687,16525
"case_rate","pm25_bin","long.term",0,1.16009440414323e-05,1.17616259915382e-05,0.323981652213663,-208436.673659455,16525
"hosp_rate","aerosols","recent",1,1.08992606920914e-06,6.04887547563841e-07,0.0717555469689952,-27531.8088981868,1624
"death_rate","aerosols","recent",1,1.86967674552564e-08,4.99161223899596e-08,0.70800547060068,-82327.2400407178,3907
"case_rate","aerosols","recent",1,2.7347883644799e-06,1.05256542631586e-06,0.00940654241953568,-58505.1539388677,3907
"hosp_rate","pm25","recent",1,-9.90984203729257e-08,2.91714773858695e-08,0.00070455911606036,-19682.6131736258,1165
"death_rate","pm25","recent",1,-2.9023362383756e-09,1.74829312978645e-09,0.0970161271554149,-55693.8240825239,2613
"case_rate","pm25","recent",1,-1.23802214317738e-07,4.4643837725587e-08,0.00559216032896148,-38761.1851956725,2613
"hosp_rate","aerosols_bin","recent",1,2.44378210007552e-06,5.08651039851659e-06,0.630977864584496,-27528.7376663609,1624
"death_rate","aerosols_bin","recent",1,-2.8405466597863e-08,4.37559086300496e-07,0.948242626939902,-82327.1028358726,3907
"case_rate","aerosols_bin","recent",1,2.00856027389511e-05,9.22890208790708e-06,0.0295870144791038,-58503.1262373762,3907
"hosp_rate","pm25_bin","recent",1,6.96936929215824e-06,4.65549458121076e-06,0.134665056908932,-19673.1588265932,1165
"death_rate","pm25_bin","recent",1,6.48052789927213e-08,2.96041700573154e-07,0.826740607621671,-55691.0903452482,2613
"case_rate","pm25_bin","recent",1,7.34597516649762e-06,7.56551318389485e-06,0.331648143592746,-38754.3814055173,2613
"hosp_rate","aerosols","long.term",1,1.10672057438407e-05,8.54399592141638e-07,4.85277701127431e-38,-148226.773973944,9358
"death_rate","aerosols","long.term",1,2.70934496033282e-07,2.767567847408e-07,0.327609915464763,-363150.447069713,21005
"case_rate","aerosols","long.term",1,1.20072558507784e-05,2.70608997684585e-06,9.16365047770545e-06,-267362.565036777,21005
"hosp_rate","pm25","long.term",1,3.17653544072755e-08,4.56060691135894e-08,0.48612744321175,-121168.65506291,7650
"death_rate","pm25","long.term",1,-1.73555748646361e-09,1.38986864469706e-08,0.900626374018561,-283088.739795269,16595
"case_rate","pm25","long.term",1,4.3777774264501e-09,1.27974420810124e-07,0.97271152589531,-209405.742596281,16595
"hosp_rate","aerosols_bin","long.term",1,5.02207910831683e-06,8.57625325683685e-06,0.558172452314672,-148057.519513988,9358
"death_rate","aerosols_bin","long.term",1,2.47263904724288e-07,2.83339301882188e-06,0.930459507270664,-363149.487892096,21005
"case_rate","aerosols_bin","long.term",1,2.13255501764938e-05,2.7716598452593e-05,0.441656066969445,-267343.308664437,21005
"hosp_rate","pm25_bin","long.term",1,3.47142093687194e-05,3.03335239778841e-06,4.47389068422176e-30,-121301.103433246,7650
"death_rate","pm25_bin","long.term",1,7.46638205609492e-07,1.2726707088303e-06,0.557433173220028,-283089.071963666,16595
"case_rate","pm25_bin","long.term",1,4.15361198859025e-05,1.17139556253631e-05,0.00039241414750477,-209418.446813566,16595
"hosp_rate","aerosols","recent",2,1.04854728127839e-06,6.06646625628101e-07,0.084104621565695,-27531.5451260085,1624
"death_rate","aerosols","recent",2,1.06737152213966e-07,5.01137056046359e-08,0.033242787367526,-82287.7011254727,3905
"case_rate","aerosols","recent",2,1.30252038756772e-06,1.05799212844635e-06,0.218350931280296,-58468.5004227112,3905
"hosp_rate","pm25","recent",2,-9.3409266578766e-08,2.89606017186601e-08,0.00129231844561396,-20521.0932137405,1214
